nCodColigada;nChapa;dAnoMes;cChapa;nQtdeAbsenteismo;cTipo;cCodOcorrencia;cOcorrencia;cSistemaOrigem;nHoraPrevista;nIdPessoa
1;185000396;ago 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;ago 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;ago 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;528;HORASLEGAIS;529;ABONO CHEFIA;ForPonto;;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;set 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;out 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
1;185000396;nov 2017;0185000396;;;;;ForPonto;528;154835
