nIdPessoa;pediu_para_sair
181076;0
201073;0
280267;1
14686;0
71442;0
250069;1
351488;1
255952;1
147702;0
167011;1
300222;0
402149;0
58647;0
301544;1
370001;1
78403;1
89472;1
216756;0
31622;0
222971;1
204188;1
97717;0
237259;0
245265;1
136009;1
244575;1
238712;0
327938;1
267389;1
201949;1
358858;0
254132;0
251306;1
50262;1
385083;1
149163;0
107076;0
87635;0
182656;1
127521;1
148754;1
11743;1
194330;1
352445;1
164028;0
193047;1
223396;1
200280;1
172783;1
168628;1
157169;1
53529;1
214227;1
262057;1
367487;1
94536;0
343377;0
129170;1
326014;0
222416;1
28772;0
186841;0
339179;1
391399;0
236912;1
73963;1
389222;1
2102;1
148545;1
266061;1
359468;1
373369;0
158541;1
251810;1
3057;0
397517;1
161875;1
364507;1
99022;1
181129;1
319688;0
336183;1
248602;1
263725;1
63660;1
387289;0
118858;0
383174;1
159888;0
154806;0
74123;1
310816;1
324772;1
66089;0
181283;0
168858;1
96875;1
166412;0
206104;1
158073;1
218285;1
127989;1
303452;1
403416;1
8486;0
263783;0
19520;1
205604;1
175282;0
164842;0
236755;1
198794;1
307628;1
183661;1
299818;0
298516;1
214417;0
225089;0
134201;0
195918;1
166202;1
222545;1
193263;1
390618;0
364367;1
473;0
307182;1
80682;0
273123;1
235611;1
182197;1
89333;0
401521;1
173076;0
13563;0
355135;1
63172;1
164045;1
41855;1
273386;1
187615;1
222158;1
291350;1
160262;1
260646;1
357075;1
384235;0
135198;1
96230;0
233506;0
171077;1
59817;1
190244;1
274829;0
21365;0
271215;1
141755;1
131132;1
388880;1
193982;0
310662;1
162835;0
115643;1
14889;0
63897;1
197185;1
181003;0
150604;1
417158;1
25480;0
288248;1
199939;0
230707;1
112187;1
32875;0
320383;1
195880;1
102272;1
344693;1
239432;1
45027;0
325278;1
230012;0
127425;0
224488;1
153829;1
119657;1
240487;1
175272;1
321783;1
300550;1
201749;0
232710;1
229200;1
226801;1
131126;0
26317;0
294411;1
40352;0
293698;1
132546;1
197666;0
74421;1
18489;0
177775;1
128454;1
40657;1
353767;1
259664;1
219485;1
388101;1
195822;1
264873;1
166393;1
373729;1
361316;1
196111;0
60918;1
307458;1
63031;1
138679;1
39335;1
307399;0
376247;1
143061;1
94771;1
49690;0
352037;1
337839;1
122133;0
295111;1
133152;0
170896;1
374389;0
350590;0
215454;1
91564;1
313935;1
53190;1
104274;1
305031;0
391746;0
140148;0
387604;1
315466;0
15683;0
382297;1
136652;0
207978;1
115863;1
291728;1
163672;1
176899;1
356817;1
328629;1
220953;1
239620;1
219949;1
94367;0
245055;1
218338;1
105393;1
214939;1
348410;1
362297;1
289168;0
379297;1
133126;1
180039;1
389018;0
101994;1
26331;0
352526;1
246138;1
280080;1
341918;1
199031;0
234815;1
373970;1
363266;1
148246;0
313854;0
359315;1
328450;1
292000;1
242785;1
216367;1
169656;0
321607;0
332551;0
57570;1
232798;0
198683;0
127528;0
65618;1
217260;1
201357;1
399709;0
385527;1
293480;1
201066;0
277219;1
181566;0
385664;0
139527;0
237022;1
243172;0
281448;0
359389;1
99279;0
284914;1
321543;0
88366;1
300589;0
233535;1
270557;1
38398;0
255597;1
281805;0
298932;0
140368;1
304512;1
181396;1
64040;0
322728;1
346350;0
408853;0
301074;0
126881;1
357950;1
312897;1
181765;1
70366;0
392041;1
314627;1
271058;1
266531;1
143431;1
347038;1
226987;1
375886;1
171575;1
177378;1
234681;0
92815;1
249509;1
298765;1
387485;1
124114;1
364686;1
188113;1
391407;1
1122;0
89628;1
138184;1
143462;1
288548;1
383070;1
292654;1
189150;1
258924;1
103311;1
164919;0
363515;1
297695;1
389414;0
