nIdPessoa;data_referencia
181076;2018-06-10
201073;2019-02-17
280267;2023-05-03
14686;2017-05-03
71442;2021-04-09
250069;2020-08-05
351488;2022-05-26
255952;2020-06-03
147702;2018-01-10
167011;2018-12-01
300222;2021-11-09
402149;2023-10-21
58647;2016-11-03
301544;2023-05-20
370001;2023-05-09
78403;2016-08-03
89472;2016-04-06
216756;2019-05-19
31622;2015-11-04
222971;2021-07-17
204188;2019-04-20
97717;2017-09-06
237259;2021-05-08
245265;2020-05-05
136009;2017-03-07
244575;2020-03-03
238712;2020-01-15
327938;2022-09-21
267389;2022-10-07
201949;2019-04-04
358858;2023-08-03
254132;2020-05-06
251306;2020-04-17
50262;2018-07-03
385083;2023-11-03
149163;2018-06-16
107076;2016-07-13
87635;2016-01-15
182656;2018-07-18
127521;2018-08-08
148754;2022-07-05
11743;2016-05-03
194330;2018-10-16
352445;2022-06-10
164028;2018-05-22
193047;2021-08-13
223396;2020-04-21
200280;2019-03-05
172783;2018-01-02
168628;2019-03-05
157169;2018-02-20
53529;2016-04-02
214227;2020-05-05
262057;2020-09-19
367487;2023-01-04
94536;2016-11-16
343377;2022-05-03
129170;2016-12-13
326014;2022-11-18
222416;2019-07-17
28772;2016-01-06
186841;2020-07-16
339179;2022-12-01
391399;2023-06-07
236912;2020-05-19
73963;2017-10-21
389222;2023-08-15
2102;2022-02-03
148545;2019-10-15
266061;2020-07-03
359468;2023-05-03
373369;2023-01-27
158541;2022-05-03
251810;2020-04-02
3057;2016-04-07
397517;2023-08-05
161875;2019-05-04
364507;2022-10-07
99022;2017-09-05
181129;2018-06-06
319688;2022-05-05
336183;2023-10-13
248602;2021-03-05
263725;2021-04-10
63660;2016-01-12
387289;2023-04-06
118858;2016-05-18
383174;2023-06-13
159888;2019-02-05
154806;2018-07-21
74123;2020-04-21
310816;2023-07-07
324772;2022-03-04
66089;2015-10-06
181283;2020-12-01
168858;2017-12-15
96875;2016-10-13
166412;2017-09-19
206104;2020-04-02
158073;2022-08-05
218285;2020-09-08
127989;2016-10-04
303452;2021-08-06
403416;2023-07-04
8486;2018-03-15
263783;2020-09-20
19520;2016-05-03
205604;2019-01-01
175282;2019-05-09
164842;2020-03-04
236755;2019-12-03
198794;2021-10-20
307628;2022-01-25
183661;2021-10-05
299818;2021-04-13
298516;2021-05-15
214417;2019-04-24
225089;2020-05-21
134201;2017-04-06
195918;2019-04-11
166202;2018-04-11
222545;2019-06-14
193263;2020-12-16
390618;2023-10-17
364367;2022-12-06
473;2017-10-12
307182;2021-07-03
80682;2015-10-08
273123;2020-08-14
235611;2021-04-22
182197;2019-05-03
89333;2016-01-06
401521;2023-10-10
173076;2018-10-09
13563;2016-10-12
355135;2022-12-03
63172;2022-03-15
164045;2018-03-20
41855;2023-03-25
273386;2021-08-16
187615;2018-07-03
222158;2019-07-04
291350;2021-07-06
160262;2023-04-05
260646;2021-08-10
357075;2022-08-05
384235;2023-07-06
135198;2016-10-05
96230;2019-02-12
233506;2020-10-10
171077;2018-05-03
59817;2016-05-07
190244;2022-12-15
274829;2020-12-17
21365;2016-09-13
271215;2021-02-02
141755;2017-11-07
131132;2017-03-03
388880;2023-05-10
193982;2023-04-20
310662;2023-02-09
162835;2017-09-02
115643;2023-03-14
14889;2018-07-12
63897;2016-01-02
197185;2019-10-09
181003;2018-06-06
150604;2017-07-04
417158;2023-11-03
25480;2015-10-16
288248;2021-01-01
199939;2019-01-01
230707;2019-10-08
112187;2019-09-07
32875;2016-03-08
320383;2021-10-15
195880;2018-12-01
102272;2016-01-06
344693;2023-02-19
239432;2020-09-02
45027;2016-08-12
325278;2023-11-03
230012;2019-11-17
127425;2018-03-06
224488;2021-09-21
153829;2017-08-03
119657;2016-04-02
240487;2021-06-22
175272;2023-04-12
321783;2022-09-20
300550;2021-05-18
201749;2021-09-09
232710;2022-10-18
229200;2020-07-03
226801;2019-09-19
131126;2017-07-04
26317;2017-08-12
294411;2023-05-13
40352;2015-11-12
293698;2021-06-16
132546;2016-12-15
197666;2019-10-10
74421;2016-11-15
18489;2019-08-21
177775;2019-04-02
128454;2016-10-19
40657;2016-01-08
353767;2022-06-22
259664;2020-10-17
219485;2020-06-03
388101;2023-07-04
195822;2018-08-11
264873;2021-03-16
166393;2017-12-07
373729;2022-12-17
361316;2023-02-01
196111;2018-12-17
60918;2016-01-02
307458;2022-03-12
63031;2020-09-02
138679;2018-08-10
39335;2020-09-02
307399;2021-06-24
376247;2023-02-07
143061;2018-07-24
94771;2019-10-04
49690;2017-01-03
352037;2022-09-02
337839;2023-10-28
122133;2017-08-04
295111;2021-07-06
133152;2020-06-12
170896;2020-07-16
374389;2023-05-12
350590;2023-04-21
215454;2019-11-05
91564;2016-02-05
313935;2022-10-18
53190;2018-08-09
104274;2016-01-07
305031;2021-11-13
391746;2023-09-06
140148;2016-12-30
387604;2023-05-24
315466;2021-09-03
15683;2016-10-05
382297;2023-10-12
136652;2019-09-05
207978;2021-04-03
115863;2016-03-04
291728;2022-02-01
163672;2020-09-02
176899;2018-08-07
356817;2022-09-14
328629;2022-06-07
220953;2021-11-03
239620;2021-08-19
219949;2019-07-03
94367;2016-02-13
245055;2020-08-05
218338;2020-12-08
105393;2017-12-07
214939;2019-11-05
348410;2022-06-14
362297;2023-10-14
289168;2022-01-14
379297;2023-05-06
133126;2019-06-11
180039;2022-02-05
389018;2023-05-26
101994;2016-01-12
26331;2017-06-15
352526;2023-02-07
246138;2021-07-09
280080;2020-12-12
341918;2022-11-03
199031;2018-12-06
234815;2021-03-04
373970;2023-04-19
